品种,持仓量,成交量(手),成交金额(元)
锡期权交易小计,23003,61094,64131546
铅期权交易小计,10894,9580,3877970
镍期权交易小计,29475,25552,14245088
锌期权交易小计,46616,37828,25591095
铜期权交易小计,89287,50805,127595930
螺纹钢期权交易小计,388733,113796,39361050
铝期权交易小计,80147,37063,26235590
原油期权交易小计,53003,95633,332778000
丁二烯橡胶期权交易小计,33081,30486,13782545
天然橡胶期权交易小计,76485,22776,46138120
氧化铝期权交易小计,192057,233595,139744090
黄金期权交易小计,128869,56470,537845300
白银期权交易小计,225609,116811,139310985
