date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240409,sc2405.INE,sc2405P660.INE,sc2405C670.INE,33.174841014938664,33.2021665757957,33.18850379536718
20240410,sc2405.INE,sc2405P660.INE,sc2405C670.INE,29.68129770632157,29.032278207787748,29.356787957054657
20240411,sc2405.INE,sc2405P660.INE,sc2405C670.INE,28.31861954565198,27.45949031934069,27.889054932496336
20240412,sc2406.INE,sc2406P660.INE,sc2406C670.INE,25.077375288383152,24.62768418362227,24.85252973600271
20240415,sc2406.INE,sc2406P660.INE,sc2406C670.INE,27.476784240982827,26.42065787624511,26.94872105861397
20240416,sc2406.INE,sc2406P660.INE,sc2406C670.INE,28.275613091056734,26.501149155130864,27.3883811230938
20240417,sc2406.INE,sc2406P660.INE,sc2406C670.INE,28.214130673157445,27.44823717370586,27.831183923431652
20240418,sc2406.INE,sc2406P640.INE,sc2406C650.INE,27.80675031243261,27.319804078566772,27.56327719549969
20240419,sc2406.INE,sc2406P650.INE,sc2406C660.INE,30.385969789158867,29.63169933123218,30.008834560195524
20240422,sc2406.INE,sc2406P630.INE,sc2406C640.INE,28.68260827921862,28.794459676734707,28.738533977976665
20240423,sc2406.INE,sc2406P630.INE,sc2406C640.INE,27.95871903458179,27.596503539498023,27.777611287039907
20240424,sc2406.INE,sc2406P650.INE,sc2406C660.INE,27.98037482848835,27.067971054681916,27.524172941585135
20240425,sc2406.INE,sc2406P650.INE,sc2406C660.INE,27.44496712583104,27.57716225984796,27.5110646928395
20240426,sc2406.INE,sc2406P650.INE,sc2406C660.INE,26.24660329855321,26.241190434688168,26.243896866620688
20240429,sc2406.INE,sc2406P640.INE,sc2406C650.INE,26.571049835548838,26.30814916871041,26.439599502129624
20240430,sc2406.INE,sc2406P640.INE,sc2406C650.INE,26.913533702445473,26.07335339165779,26.493443547051633
20240506,sc2406.INE,sc2406P610.INE,sc2406C620.INE,27.818486614715955,26.66034117711809,27.239413895917025
20240507,sc2406.INE,sc2406P610.INE,sc2406C620.INE,25.458376493874578,24.988815145749214,25.223595819811898
20240508,sc2406.INE,sc2406P610.INE,sc2406C620.INE,26.52366127599553,26.168225886430825,26.345943581213177
20240509,sc2406.INE,sc2406P610.INE,sc2406C620.INE,24.784135398664496,24.719722084497302,24.751928741580898
20240510,sc2406.INE,sc2406P620.INE,sc2406C630.INE,21.68422202102337,20.32432085562965,21.004271438326512
20240513,sc2406.INE,sc2406P610.INE,sc2406C620.INE,28.723647229184085,27.325272777309934,28.024460003247007
20240514,sc2406.INE,sc2406P610.INE,sc2406C620.INE,27.227594655323657,26.646239007797373,26.936916831560517
20240515,sc2407.INE,sc2407P610.INE,sc2407C620.INE,24.415064910851328,23.065847980384863,23.740456445618094
20240516,sc2407.INE,sc2407P610.INE,sc2407C620.INE,23.513064261366473,22.463214922805506,22.98813959208599
