20250711111559,687  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:0,  totalVolume:15,  frozeMargin:0,  frozenCommission:120,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111729,778  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:4,  totalVolume:15,  frozeMargin:0,  frozenCommission:22.22,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:部分成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:55,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111729,778  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  tradeID:    60910915,  orderSysID:    69047120,  averagePrice:373,  volume:4,  tradeDate:20250711,  tradeTime:111713,  comssion:8.08,  amount:4476,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111729,778  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:4,  totalVolume:15,  frozeMargin:0,  frozenCommission:22.22,  averagePrice:373,  tradeAmount:4476,  errorID:0,  errorMsg:部分成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:55,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,327  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  tradeID:    60911742,  orderSysID:    69047120,  averagePrice:373,  volume:2,  tradeDate:20250711,  tradeTime:111719,  comssion:4.04,  amount:2238,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,328  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:6,  totalVolume:15,  frozeMargin:0,  frozenCommission:18.18,  averagePrice:373,  tradeAmount:6714,  errorID:0,  errorMsg:部分成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:55,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,430  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  tradeID:    60911769,  orderSysID:    69047120,  averagePrice:373,  volume:5,  tradeDate:20250711,  tradeTime:111719,  comssion:10.1,  amount:5595,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,430  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:11,  totalVolume:15,  frozeMargin:0,  frozenCommission:8.08,  averagePrice:373,  tradeAmount:12309,  errorID:0,  errorMsg:部分成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:55,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,431  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  limitPrice:373,  orderSysID:    69047120,  trtradedVolume:15,  totalVolume:15,  frozeMargin:0,  frozenCommission:0,  averagePrice:373,  tradeAmount:12309,  errorID:0,  errorMsg:全部成交,  inserDate:20250711,  insertTime:111543,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711111735,432  onRtnDealDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-46000,  tradeID:    60911772,  orderSysID:    69047120,  averagePrice:373,  volume:4,  tradeDate:20250711,  tradeTime:111719,  comssion:8.08,  amount:4476,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509C46000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711135420,822  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:700,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:2.02,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:135404,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
