000003.SZ,000003.SZ,20000509,1,
000003.SZ,000003.SZ,20010511,3,
000004.SZ,000004.SZ,19990427,1,
000004.SZ,000004.SZ,20010306,0,
000004.SZ,000004.SZ,20060421,2,
000004.SZ,000004.SZ,20070525,1,
000004.SZ,000004.SZ,20090421,2,
000004.SZ,000004.SZ,20100531,1,
000004.SZ,000004.SZ,20110608,0,
000004.SZ,000004.SZ,20220506,1,
000004.SZ,000004.SZ,20230628,0,
000004.SZ,000004.SZ,20250430,2,
000005.SZ,000005.SZ,20030416,1,
000005.SZ,000005.SZ,20030512,2,
000005.SZ,000005.SZ,20040518,1,
000005.SZ,000005.SZ,20080625,0,
000005.SZ,000005.SZ,20210506,1,
000007.SZ,000007.SZ,20010419,1,
000007.SZ,000007.SZ,20020412,0,
000007.SZ,000007.SZ,20070423,1,
000007.SZ,000007.SZ,20120504,0,
000007.SZ,000007.SZ,20210430,2,
000007.SZ,000007.SZ,20220701,0,
000007.SZ,000007.SZ,20230505,2,
000007.SZ,000007.SZ,20240702,0,
000008.SZ,000008.SZ,20020430,1,
000008.SZ,000008.SZ,20030512,2,
000008.SZ,000008.SZ,20040220,1,
000008.SZ,000008.SZ,20050222,0,
000008.SZ,000008.SZ,20070330,2,
000008.SZ,000008.SZ,20080403,1,
000008.SZ,000008.SZ,20130419,0,
000009.SZ,000009.SZ,19990430,1,
000009.SZ,000009.SZ,20000414,0,
000010.SZ,000010.SZ,20000427,1,
000010.SZ,000010.SZ,20010410,0,
000010.SZ,000010.SZ,20060509,2,
000010.SZ,000010.SZ,20070321,0,
000010.SZ,000010.SZ,20131018,0,
000010.SZ,000010.SZ,20190426,2,
000010.SZ,000010.SZ,20200722,0,
000011.SZ,000011.SZ,20000509,1,
000011.SZ,000011.SZ,20050308,0,
000011.SZ,000011.SZ,20080416,0,
000011.SZ,000011.SZ,20090916,0,
000013.SZ,000013.SZ,20020430,1,
000013.SZ,000013.SZ,20030512,2,
000014.SZ,000014.SZ,19980615,1,
000014.SZ,000014.SZ,20020208,0,
000015.SZ,000015.SZ,19980504,1,
000015.SZ,000015.SZ,20000512,3,
000017.SZ,000017.SZ,19990504,1,
000017.SZ,000017.SZ,20050509,2,
000017.SZ,000017.SZ,20070209,0,
000017.SZ,000017.SZ,20100428,2,
000017.SZ,000017.SZ,20140514,0,
000017.SZ,000017.SZ,20200429,2,
000017.SZ,000017.SZ,20210622,0,
000018.SZ,000018.SZ,20070828,1,
000018.SZ,000018.SZ,20090424,2,
000018.SZ,000018.SZ,20100531,1,
000018.SZ,000018.SZ,20130424,2,
000018.SZ,000018.SZ,20140313,0,
000018.SZ,000018.SZ,20190506,2,
000018.SZ,000018.SZ,20191125,0,
000020.SZ,000020.SZ,19990427,1,
000020.SZ,000020.SZ,20000329,0,
000020.SZ,000020.SZ,20040427,1,
000020.SZ,000020.SZ,20050429,2,
000020.SZ,000020.SZ,20061122,0,
000020.SZ,000020.SZ,20090519,0,
000023.SZ,000023.SZ,20230505,1,
000023.SZ,000023.SZ,20240506,2,
000025.SZ,000025.SZ,20000419,1,
000025.SZ,000025.SZ,20060308,0,
000030.SZ,000030.SZ,19980615,1,
000030.SZ,000030.SZ,20030512,2,
000030.SZ,000030.SZ,20040420,1,
000030.SZ,000030.SZ,20060404,2,
000030.SZ,000030.SZ,20081031,0,
000030.SZ,000030.SZ,20090409,2,
000030.SZ,000030.SZ,20130424,0,
000033.SZ,000033.SZ,20010508,1,
000033.SZ,000033.SZ,20020417,0,
000033.SZ,000033.SZ,20140505,2,
000033.SZ,000033.SZ,20170524,0,
000034.SZ,000034.SZ,19990430,1,
000034.SZ,000034.SZ,20010118,0,
000034.SZ,000034.SZ,20050510,1,
000034.SZ,000034.SZ,20060428,2,
000034.SZ,000034.SZ,20070821,0,
000034.SZ,000034.SZ,20090429,2,
000034.SZ,000034.SZ,20100914,1,
000034.SZ,000034.SZ,20110401,0,
000035.SZ,000035.SZ,20050701,2,
000035.SZ,000035.SZ,20050902,1,
000035.SZ,000035.SZ,20060509,2,
000035.SZ,000035.SZ,20070615,1,
000035.SZ,000035.SZ,20100428,2,
000035.SZ,000035.SZ,20110811,1,
000035.SZ,000035.SZ,20111012,2,
000035.SZ,000035.SZ,20140422,0,
000036.SZ,000036.SZ,20090429,2,
000036.SZ,000036.SZ,20100604,0,
000037.SZ,000037.SZ,20160405,2,
000037.SZ,000037.SZ,20170417,0,
000038.SZ,000038.SZ,20000411,1,
000038.SZ,000038.SZ,20010406,0,
000038.SZ,000038.SZ,20060509,2,
000038.SZ,000038.SZ,20130514,0,
000038.SZ,000038.SZ,20220506,2,
000038.SZ,000038.SZ,20230619,0,
000040.SZ,000040.SZ,20030418,1,
000040.SZ,000040.SZ,20030512,2,
000040.SZ,000040.SZ,20040510,1,
000040.SZ,000040.SZ,20050526,0,
000040.SZ,000040.SZ,20240709,1,
000040.SZ,000040.SZ,20250307,2,
000046.SZ,000046.SZ,20230505,2,
000047.SZ,000047.SZ,20010409,1,
000048.SZ,000048.SZ,20010508,1,
000048.SZ,000048.SZ,20050513,0,
000048.SZ,000048.SZ,20070426,2,
000048.SZ,000048.SZ,20080520,1,
000048.SZ,000048.SZ,20120531,0,
000048.SZ,000048.SZ,20180702,2,
000048.SZ,000048.SZ,20191015,0,
000049.SZ,000049.SZ,19980610,1,
000049.SZ,000049.SZ,19990610,0,
