,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250604090100,1748998860000,74.0,74.0,74.0,74.0,0,0.0,0.0,1651,74.0,0
20250604090200,1748998920000,74.0,74.0,74.0,74.0,0,0.0,0.0,1651,74.0,0
20250604090300,1748998980000,72.0,72.0,72.0,72.0,4,1300.0,0.0,1647,74.0,0
20250604090400,1748999040000,72.0,72.0,72.0,72.0,0,0.0,0.0,1647,72.0,0
20250604090500,1748999100000,72.0,72.0,72.0,72.0,0,0.0,0.0,1647,72.0,0
20250604090600,1748999160000,69.0,69.0,68.5,68.5,30,10762.5,0.0,1677,72.0,0
20250604090700,1748999220000,68.5,68.5,68.5,68.5,0,0.0,0.0,1677,68.5,0
20250604090800,1748999280000,70.0,70.0,70.0,70.0,20,6550.0,0.0,1677,68.5,0
20250604090900,1748999340000,70.0,70.0,70.0,70.0,0,0.0,0.0,1677,70.0,0
20250604091000,1748999400000,70.0,70.0,70.0,70.0,0,0.0,0.0,1677,70.0,0
20250604091100,1748999460000,70.0,70.0,70.0,70.0,0,0.0,0.0,1677,70.0,0
20250604091200,1748999520000,70.0,70.0,70.0,70.0,4,1310.0,0.0,1673,70.0,0
20250604091300,1748999580000,70.0,70.0,70.0,70.0,0,0.0,0.0,1673,70.0,0
20250604091400,1748999640000,71.0,71.0,70.5,70.5,24,8992.5,0.0,1659,70.0,0
20250604091500,1748999700000,70.5,70.5,70.5,70.5,0,0.0,0.0,1659,70.5,0
20250604091600,1748999760000,70.5,70.5,70.5,70.5,5,1650.0,0.0,1655,70.5,0
20250604091700,1748999820000,71.5,71.5,71.5,71.5,4,1320.0,0.0,1655,70.5,0
20250604091800,1748999880000,71.5,71.5,70.5,70.5,16,5280.0,0.0,1651,71.5,0
20250604091900,1748999940000,71.0,71.0,71.0,71.0,30,11170.0,0.0,1661,70.5,0
20250604092000,1749000000000,70.5,70.5,70.5,70.5,11,3657.5,0.0,1671,71.0,0
20250604092100,1749000060000,70.5,70.5,70.5,70.5,0,0.0,0.0,1671,70.5,0
20250604092200,1749000120000,70.5,70.5,70.5,70.5,0,0.0,0.0,1671,70.5,0
20250604092300,1749000180000,70.5,70.5,70.5,70.5,0,0.0,0.0,1671,70.5,0
20250604092400,1749000240000,70.5,70.5,70.5,70.5,4,1330.0,0.0,1667,70.5,0
20250604092500,1749000300000,70.5,70.5,70.5,70.5,0,0.0,0.0,1667,70.5,0
20250604092600,1749000360000,70.5,70.5,70.5,70.5,0,0.0,0.0,1667,70.5,0
20250604092700,1749000420000,70.0,70.0,70.0,70.0,1,332.5,0.0,1667,70.5,0
20250604092800,1749000480000,70.0,70.0,70.0,70.0,0,0.0,0.0,1667,70.0,0
20250604092900,1749000540000,71.5,72.0,71.5,72.0,3,997.5,0.0,1666,70.0,0
20250604093000,1749000600000,72.0,72.0,72.0,72.0,0,0.0,0.0,1666,72.0,0
20250604093100,1749000660000,71.0,71.0,71.0,71.0,2,665.0,0.0,1666,72.0,0
20250604093200,1749000720000,71.0,71.0,71.0,71.0,0,0.0,0.0,1666,71.0,0
20250604093300,1749000780000,71.0,71.0,71.0,71.0,0,0.0,0.0,1666,71.0,0
20250604093400,1749000840000,71.0,71.0,71.0,71.0,6,1995.0,0.0,1671,71.0,0
20250604093500,1749000900000,71.0,71.0,71.0,71.0,0,0.0,0.0,1671,71.0,0
20250604093600,1749000960000,71.0,71.0,71.0,71.0,0,0.0,0.0,1671,71.0,0
20250604093700,1749001020000,71.0,71.0,71.0,71.0,0,0.0,0.0,1671,71.0,0
20250604093800,1749001080000,71.0,71.0,71.0,71.0,0,0.0,0.0,1671,71.0,0
20250604093900,1749001140000,71.5,71.5,71.5,71.5,9,4352.5,0.0,1679,71.0,0
20250604094000,1749001200000,71.5,71.5,71.5,71.5,0,0.0,0.0,1679,71.5,0
20250604094100,1749001260000,71.0,71.5,71.0,71.5,5,1675.0,0.0,1679,71.5,0
20250604094200,1749001320000,72.0,72.5,72.0,72.5,3,1005.0,0.0,1676,71.5,0
20250604094300,1749001380000,72.5,72.5,72.5,72.5,0,0.0,0.0,1676,72.5,0
20250604094400,1749001440000,72.5,72.5,72.5,72.5,0,0.0,0.0,1676,72.5,0
20250604094500,1749001500000,74.5,74.5,74.5,74.5,10,3350.0,0.0,1676,72.5,0
20250604094600,1749001560000,74.5,74.5,74.5,74.5,0,0.0,0.0,1676,74.5,0
20250604094700,1749001620000,74.5,74.5,74.5,74.5,0,0.0,0.0,1676,74.5,0
20250604094800,1749001680000,74.5,74.5,74.5,74.5,0,0.0,0.0,1676,74.5,0
20250604094900,1749001740000,74.5,74.5,74.5,74.5,0,0.0,0.0,1676,74.5,0
