20250710133504,237  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,258  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,299  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,299  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133533,705  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133533,755  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:    71479232,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,424  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:6,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,424  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:6,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,426  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  tradeID:    61356902,  orderSysID:    71450377,  averagePrice:405,  volume:6,  tradeDate:20250710,  tradeTime:133535,  comssion:48,  amount:7290,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,427  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  tradeID:    61356902,  orderSysID:    71450377,  averagePrice:405,  volume:6,  tradeDate:20250710,  tradeTime:133535,  comssion:48,  amount:7290,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
