期权合约代码,负责人,手数,平均开仓期权价,手续费,交易单位
ps2509-C-50000,程,1,134.0,2.02,3
ps2509-C-50000,程,2,139.0,4.03,3
ps2509-C-50000,程,2,140.0,4.03,3
ps2509-C-50000,程,2,138.0,4.03,3
ps2509-C-50000,程,2,135.0,4.03,3
ps2509-C-50000,程,2,134.0,4.03,3
ps2509-C-50000,程,1,125.0,2.02,3
ps2509-C-50000,程,1,125.0,2.02,3
ps2509-C-50000,程,1,121.0,2.02,3
ps2509-C-50000,程,1,121.0,2.02,3
ps2509-P-37000,程,2,322.0,4.03,3
ps2509-P-37000,程,2,316.0,4.03,3
ps2509-P-36000,程,2,219.0,4.03,3
ps2509-P-37000,程,1,312.0,2.02,3
ps2509-P-37000,程,1,312.0,2.02,3
ps2509-P-37000,程,2,303.0,4.03,3
ps2509-P-38000,程,1,410.0,2.02,3
ps2509-P-38000,程,1,410.0,2.02,3
ps2509-P-36000,程,2,200.0,4.03,3
ps2509-C-46000,程,2,540.0,4.03,3
ps2509-C-48000,程,2,260.0,4.03,3
ps2509-C-46000,程,2,438.0,4.03,3
ps2509-C-46000,程,2,430.0,4.03,3
ps2509-C-48000,程,2,243.0,4.03,3
ps2509-C-48000,程,2,238.0,4.03,3
ps2509-C-48000,程,2,230.0,4.03,3
ps2509-C-46000,程,2,475.0,4.03,3
ps2509-C-46000,程,2,468.0,4.03,3
i2509-P-730,叶,3,4.4,6.05,100
ps2509-P-37000,程,2,390.0,4.03,3
ps2509-C-46000,程,1,525.0,2.02,3
ps2509-C-46000,程,1,525.0,2.02,3
ps2509-C-45000,程,2,740.0,4.03,3
ps2509-C-45000,程,2,730.0,4.03,3
ps2509-C-46000,程,2,515.0,4.03,3
ps2509-C-45000,程,2,735.0,4.03,3
ps2509-C-48000,程,2,250.0,4.03,3
eb2509-C-7500,叶,1,72.0,0.52,5
eb2509-C-7600,叶,10,53.0,5.15,5
