成交编号,合约,买卖,开平,成交价格,成交手数,手续费,平仓盈亏,平仓盈亏(逐笔),投保,成交时间,成交类型,交易所
61379911,ps2509-C-50000,　卖,开仓,134,1,2.02,0.00,0.00,投机,14:53:28,普通成交,广期所
61295628,ps2509-C-50000,　卖,开仓,139,2,4.03,0.00,0.00,投机,14:38:25,普通成交,广期所
61233737,ps2509-C-50000,　卖,开仓,140,2,4.03,0.00,0.00,投机,14:27:14,普通成交,广期所
61222815,ps2509-C-50000,　卖,开仓,138,2,4.03,0.00,0.00,投机,14:25:37,普通成交,广期所
61219332,ps2509-C-50000,　卖,开仓,135,2,4.03,0.00,0.00,投机,14:25:16,普通成交,广期所
61165740,ps2509-C-50000,　卖,开仓,134,2,4.03,0.00,0.00,投机,14:15:44,普通成交,广期所
61133121,ps2509-C-50000,　卖,开仓,125,1,2.02,0.00,0.00,投机,14:10:01,普通成交,广期所
61132791,ps2509-C-50000,　卖,开仓,125,1,2.02,0.00,0.00,投机,14:09:56,普通成交,广期所
61105536,ps2509-C-50000,　卖,开仓,121,1,2.02,0.00,0.00,投机,14:04:09,普通成交,广期所
61105481,ps2509-C-50000,　卖,开仓,121,1,2.02,0.00,0.00,投机,14:04:09,普通成交,广期所
61067175,ps2509-P-37000,　卖,开仓,322,2,4.03,0.00,0.00,投机,13:58:43,普通成交,广期所
61013524,ps2509-P-37000,　卖,开仓,316,2,4.03,0.00,0.00,投机,13:54:43,普通成交,广期所
61005713,ps2509-P-36000,　卖,开仓,219,2,4.03,0.00,0.00,投机,13:53:29,普通成交,广期所
60994460,ps2509-P-37000,　卖,开仓,312,1,2.02,0.00,0.00,投机,13:52:25,普通成交,广期所
60993254,ps2509-P-37000,　卖,开仓,312,1,2.02,0.00,0.00,投机,13:52:20,普通成交,广期所
60976177,ps2509-P-37000,　卖,开仓,303,2,4.03,0.00,0.00,投机,13:51:12,普通成交,广期所
60929494,ps2509-C-46000,买　,平仓,555,1,2.02,-375.00,-375.00,投机,13:44:05,普通成交,广期所
60895563,ps2509-P-38000,　卖,开仓,410,1,2.02,0.00,0.00,投机,13:39:27,普通成交,广期所
60895427,ps2509-P-38000,　卖,开仓,410,1,2.02,0.00,0.00,投机,13:39:26,普通成交,广期所
60884143,ps2509-P-36000,　卖,开仓,200,2,4.03,0.00,0.00,投机,13:38:19,普通成交,广期所
60839466,ps2509-C-46000,买　,平仓,640,5,10.08,"-2,367.00","-2,367.00",投机,13:32:14,普通成交,广期所
60831615,ps2509-C-46000,买　,平仓,670,3,6.05,"-1,365.00","-1,365.00",投机,13:31:45,普通成交,广期所
60831323,ps2509-C-46000,买　,平仓,670,1,2.02,42.00,-762.00,投机,13:31:44,普通成交,广期所
60831274,ps2509-C-46000,买　,平仓,670,1,2.02,42.00,-762.00,投机,13:31:44,普通成交,广期所
60824512,ps2509-C-45000,买　,平仓,960,1,2.02,-660.00,-660.00,投机,13:31:17,普通成交,广期所
60824511,ps2509-C-45000,买　,平仓,956,1,2.02,-648.00,-648.00,投机,13:31:17,普通成交,广期所
60824510,ps2509-C-45000,买　,平仓,956,2,4.03,"-1,356.00","-1,356.00",投机,13:31:17,普通成交,广期所
60824509,ps2509-C-45000,买　,平仓,956,2,4.03,"-1,326.00","-1,326.00",投机,13:31:17,普通成交,广期所
60800267,ps2509-C-46000,买　,平仓,620,1,2.02,192.00,-513.00,投机,13:30:16,普通成交,广期所
60800266,ps2509-C-46000,买　,平仓,620,4,8.06,768.00,"-2,421.00",投机,13:30:16,普通成交,广期所
102325572,jd2508-C-3500,买　,平仓,0.5,5,2.58,350.00,175.00,投机,11:27:50,普通成交,大商所
60604316,ps2509-C-46000,　卖,开仓,540,2,4.03,0.00,0.00,投机,11:05:49,普通成交,广期所
60603670,ps2509-C-48000,　卖,开仓,260,2,4.03,0.00,0.00,投机,11:05:47,普通成交,广期所
60552224,ps2509-C-46000,　卖,开仓,438,2,4.03,0.00,0.00,投机,10:58:08,普通成交,广期所
60541681,ps2509-C-46000,　卖,开仓,430,2,4.03,0.00,0.00,投机,10:55:21,普通成交,广期所
60360508,ps2509-C-48000,　卖,开仓,243,2,4.03,0.00,0.00,投机,09:59:11,普通成交,广期所
60306003,ps2509-C-48000,　卖,开仓,238,2,4.03,0.00,0.00,投机,09:44:26,普通成交,广期所
60303449,ps2509-C-48000,　卖,开仓,230,2,4.03,0.00,0.00,投机,09:44:10,普通成交,广期所
60301743,ps2509-C-46000,　卖,开仓,475,2,4.03,0.00,0.00,投机,09:43:58,普通成交,广期所
60300401,ps2509-C-46000,　卖,开仓,468,2,4.03,0.00,0.00,投机,09:43:36,普通成交,广期所
101557491,i2509-P-730,　卖,开仓,4.4,3,6.05,0.00,0.00,投机,09:42:53,普通成交,大商所
60243927,ps2509-P-37000,　卖,开仓,390,2,4.03,0.00,0.00,投机,09:27:46,普通成交,广期所
60190643,ps2509-C-46000,　卖,开仓,525,1,2.02,0.00,0.00,投机,09:20:12,普通成交,广期所
60190640,ps2509-C-46000,　卖,开仓,525,1,2.02,0.00,0.00,投机,09:20:12,普通成交,广期所
60188235,ps2509-C-45000,　卖,开仓,740,2,4.03,0.00,0.00,投机,09:19:51,普通成交,广期所
60187724,ps2509-C-45000,　卖,开仓,730,2,4.03,0.00,0.00,投机,09:19:49,普通成交,广期所
60160737,ps2509-C-46000,　卖,开仓,515,2,4.03,0.00,0.00,投机,09:14:34,普通成交,广期所
60160652,ps2509-C-45000,　卖,开仓,735,2,4.03,0.00,0.00,投机,09:14:34,普通成交,广期所
60160309,ps2509-C-48000,　卖,开仓,250,2,4.03,0.00,0.00,投机,09:14:33,普通成交,广期所
101252888,jd2508-C-3550,买　,平仓,0.5,8,4.12,80.00,"2,115.00",投机,09:14:09,普通成交,大商所
101249809,eb2508-C-7600,买　,平仓,0.5,1,0.52,25.00,202.50,投机,09:13:55,普通成交,大商所
101206010,eb2509-C-7500,　卖,开仓,72.0,1,0.52,0.00,0.00,投机,09:11:02,普通成交,大商所
101196966,eb2509-C-7600,　卖,开仓,53.0,10,5.15,0.00,0.00,投机,09:10:30,普通成交,大商所
