成交编号,合约,买卖,开平,成交价格,成交手数,手续费,平仓盈亏,平仓盈亏(逐笔),投保,成交时间,成交类型,交易所
103296958,jd2508-C-3600,买　,平仓,0.5,5,10.00,125.00,"1,175.00",投机,14:59:23,普通成交,大商所
61743881,ps2509-C-49000,　卖,开仓,175,2,16.00,0.00,0.00,投机,14:32:15,普通成交,广期所
61539409,ps2509-C-49000,　卖,开仓,175,2,16.00,0.00,0.00,投机,14:02:06,普通成交,广期所
61324985,ps2509-C-49000,　卖,开仓,185,2,16.00,0.00,0.00,投机,13:40:22,普通成交,广期所
102310720,jd2508-C-3500,　卖,开仓,4.0,5,2.58,0.00,0.00,投机,11:13:20,普通成交,大商所
60760626,ps2509-P-35000,　卖,开仓,185,2,16.00,0.00,0.00,投机,10:12:20,普通成交,广期所
60757963,ps2509-P-35000,　卖,开仓,182,3,24.00,0.00,0.00,投机,10:11:54,普通成交,广期所
60757473,ps2509-P-35000,　卖,开仓,182,1,8.00,0.00,0.00,投机,10:11:50,普通成交,广期所
60756077,ps2509-P-35000,　卖,开仓,180,4,32.00,0.00,0.00,投机,10:11:44,普通成交,广期所
60755249,ps2509-P-35000,　卖,开仓,179,2,16.00,0.00,0.00,投机,10:11:37,普通成交,广期所
60754633,ps2509-P-35000,　卖,开仓,179,1,8.00,0.00,0.00,投机,10:11:30,普通成交,广期所
60754617,ps2509-P-35000,　卖,开仓,179,1,8.00,0.00,0.00,投机,10:11:30,普通成交,广期所
60738809,ps2509-P-35000,　卖,开仓,182,1,8.00,0.00,0.00,投机,10:08:14,普通成交,广期所
60738808,ps2509-P-35000,　卖,开仓,182,1,8.00,0.00,0.00,投机,10:08:14,普通成交,广期所
60734292,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,10:07:19,普通成交,广期所
60699199,ps2509-P-35000,　卖,开仓,188,2,16.00,0.00,0.00,投机,10:02:00,普通成交,广期所
60697440,ps2509-P-35000,　卖,开仓,187,2,16.00,0.00,0.00,投机,10:01:48,普通成交,广期所
60684741,ps2509-P-35000,　卖,开仓,186,2,16.00,0.00,0.00,投机,10:00:49,普通成交,广期所
60682949,ps2509-P-35000,　卖,开仓,185,2,16.00,0.00,0.00,投机,10:00:33,普通成交,广期所
60676724,ps2509-P-35000,　卖,开仓,185,2,16.00,0.00,0.00,投机,09:59:12,普通成交,广期所
60674862,ps2509-P-35000,　卖,开仓,184,2,16.00,0.00,0.00,投机,09:59:03,普通成交,广期所
60673741,ps2509-P-35000,　卖,开仓,183,2,16.00,0.00,0.00,投机,09:58:46,普通成交,广期所
60673551,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,09:58:41,普通成交,广期所
60670411,ps2509-P-35000,　卖,开仓,181,1,8.00,0.00,0.00,投机,09:57:59,普通成交,广期所
60670408,ps2509-P-35000,　卖,开仓,181,1,8.00,0.00,0.00,投机,09:57:59,普通成交,广期所
60666543,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,09:57:13,普通成交,广期所
60665706,ps2509-P-35000,　卖,开仓,181,2,16.00,0.00,0.00,投机,09:57:07,普通成交,广期所
60657149,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,09:55:55,普通成交,广期所
60657141,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,09:55:55,普通成交,广期所
60644995,ps2509-P-35000,　卖,开仓,184,1,8.00,0.00,0.00,投机,09:54:08,普通成交,广期所
60644486,ps2509-P-35000,　卖,开仓,184,1,8.00,0.00,0.00,投机,09:54:03,普通成交,广期所
60637384,ps2509-P-35000,　卖,开仓,181,2,16.00,0.00,0.00,投机,09:53:38,普通成交,广期所
60634982,ps2509-P-35000,　卖,开仓,180,2,16.00,0.00,0.00,投机,09:53:29,普通成交,广期所
60634980,ps2509-P-35000,　卖,开仓,180,2,16.00,0.00,0.00,投机,09:53:29,普通成交,广期所
60628113,ps2509-P-35000,　卖,开仓,175,2,16.00,0.00,0.00,投机,09:53:07,普通成交,广期所
60609033,ps2509-P-35000,　卖,开仓,179,2,16.00,0.00,0.00,投机,09:51:21,普通成交,广期所
60590229,ps2509-P-35000,　卖,开仓,182,2,16.00,0.00,0.00,投机,09:50:12,普通成交,广期所
60564083,ps2509-P-36000,　卖,开仓,247,1,8.00,0.00,0.00,投机,09:47:33,普通成交,广期所
60564082,ps2509-P-36000,　卖,开仓,247,1,8.00,0.00,0.00,投机,09:47:33,普通成交,广期所
60444888,ps2509-P-38000,　卖,开仓,540,2,16.00,0.00,0.00,投机,09:39:19,普通成交,广期所
60407335,ps2509-C-50000,　卖,开仓,175,2,16.00,0.00,0.00,投机,09:37:32,普通成交,广期所
101584555,m2601-P-2800,买　,平仓,20.0,4,12.00,-100.00,470.00,投机,09:28:41,普通成交,大商所
60289959,ps2509-C-50000,　卖,开仓,145,2,16.00,0.00,0.00,投机,09:27:38,普通成交,广期所
101526717,jd2508-P-3400,买　,平仓,7.0,3,6.00,285.00,400.00,投机,09:21:30,普通成交,大商所
60185845,ps2509-C-50000,　卖,开仓,140,2,16.00,0.00,0.00,投机,09:14:43,普通成交,广期所
60182825,ps2509-C-50000,　卖,开仓,139,2,16.00,0.00,0.00,投机,09:14:26,普通成交,广期所
101447280,jd2508-P-3400,买　,平仓,7.5,3,6.00,270.00,545.00,投机,09:13:46,普通成交,大商所
101384913,eb2508-P-7200,买　,平仓,4.0,1,2.00,5.00,202.50,投机,09:09:50,普通成交,大商所
