,期权合约代码,负责人,手数,平均开仓期权价,手续费,交易单位,成交期货平均价
0,ps2509-C-46000,程,4,415.5,8.08,3,40817.5
1,ps2509-C-47000,程,4,306.0,8.08,3,40802.5
2,ps2509-C-48000,程,4,227.5,8.08,3,40786.25
3,ps2509-C-49000,程,7,172.71,14.14,3,40876.43
4,ps2509-C-50000,程,12,135.17,24.22,3,40825.0
5,ps2509-P-34000,程,12,142.17,24.2,3,40949.58
6,ps2509-P-35000,程,8,242.88,16.16,3,40818.12
7,ps2509-P-36000,程,7,348.0,14.14,3,40872.14
8,ps2509-P-37000,程,4,475.0,8.08,3,41108.75
9,ps2509-P-38000,程,1,675.0,2.02,3,41185.0
