2025071193346,775  order(ordinaryOrder)  account: 8000138,  market: DCE,  instrument: jd2508-C-3700,  volume:1,  price:50,  operationType:3,  priceType:11,  portfolioID:-1
2025071193620,198  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:781,  orderSysID:    60744754,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250711,  insertTime:090703,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193620,200  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35000,  limitPrice:275,  orderSysID:    61741884,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250711,  insertTime:091546,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193620,200  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:831,  orderSysID:    60758087,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250711,  insertTime:090712,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193621,059  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:360,  orderSysID:    62031518,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:8,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:091829,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193621,060  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:370,  orderSysID:    62039112,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:8,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:091840,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193621,117  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:370,  orderSysID:    62039112,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250711,  insertTime:091840,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
2025071193621,118  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:360,  orderSysID:    62031518,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250711,  insertTime:091829,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250711103009,872  order(ordinaryOrder)  account: 8000138,  market: DCE,  instrument: jd2508-C-3700,  volume:1,  price:50,  operationType:3,  priceType:11,  portfolioID:-1
20250711103009,934  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:DCE,  productID:jd_o,  instrumentID:jd2508-C-3700,  limitPrice:50,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:1211.45,  frozenCommission:0.51,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:103010,  orderID:1730138,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:api demo,  cancelInfo:,  instrumnetName:jd2508C3700,  accountKey:1____20001____0268_1711____-1____8000138____
20250711103009,965  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:DCE,  productID:jd_o,  instrumentID:jd2508-C-3700,  limitPrice:50,  orderSysID:   115297363,  trtradedVolume:0,  totalVolume:1,  frozeMargin:1211.45,  frozenCommission:0.51,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:103011,  orderID:1730138,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:api demo,  cancelInfo:,  instrumnetName:jd2508C3700,  accountKey:1____20001____0268_1711____-1____8000138____
